,Game,Platform,Content_Descriptor,Interactive_Elements,Ratings_Summary
59,Saint Kotar,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood and Gore,Drug Reference,Mild Sexual Themes,Violence",No Interactive Elements,"This is a point-and-click horror game in which players assume the roles of two men searching for a missing relative in Croatia. Players explore a mysterious town, solving puzzles and interacting with characters. Some interactions lead to instances of violence and/or disturbing imagery: characters burned at stakes; bodies with their faces removed; a head impaled on a spike; dismembered and/or disemboweled corpses; flayed bodies hung by the neck. The game also contains brief references to sexual material (e.g., “He had a daughter…with whom he, allegedly, had intercourse”). Drug references occasionally appear in the dialogue (e.g., “Then a handful of used syringes and burned spoons...""; “Drug addicts""; ""These two brothers are using it to drug themselves”; “He's a drug fiend.”)."
60,Advent Calendar,Nintendo Switch,No Descriptors,No Interactive Elements,"This is an interactive advent calendar that counts down the twenty-five days before Christmas. Players can engage in various puzzles and number challenges, while opening holiday gifts (more puzzles)."
61,Battle Axe,PlayStation 5,"Blood and Gore,Fantasy Violence",No Interactive Elements,"This is an arcade-style adventure game in which players battle monsters and boss creatures in a fantastical setting. From a top-down perspective, players control a dark elf, marauder, or druid as they explore environments while using swords, throwing knives, magic, and cannon fire to kill creatures (e.g., ogres, skeletons, witches, dragons). Gameplay can be frenetic, highlighted by explosions and cries/groans of pain. Enemies burst into body parts/chunks and large blood spurts when killed."
62,Bus Simulator City Ride,Nintendo Switch,No Descriptors,No Interactive Elements,"This is a bus-driving simulation game in which players drive buses to transport passengers around a city. Players follow traffic rules to earn reputation, unlocking additional buses, districts, and routes."
63,My Fantastic Ranch,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",No Descriptors,No Interactive Elements,"This is a simulation game in which players manage a fantasy ranch to raise dragons and unicorns. Players can build facilities, hire staff to care for creatures, and assign creatures to students to train and compete in tournaments."
64,Winter Games 2023,"PlayStation 4, PlayStation 5, Nintendo Switch",No Descriptors,No Interactive Elements,"This is a sports simulation game in which players participate in a variety of winter sports. Players can engage in various skiing events (e.g., cross, jump), speed skating, curling, and biathlon."
65,80 Days & Overboard!,Nintendo Switch,"Drug Reference,Language,Mild Violence,Suggestive Themes",No Interactive Elements,"This is a collection of two text-based adventure games in which players follow characters navigating a murder mystery and attempting to travel the world in 80 days. Both games contain dialogue and action choices that influence each story's outcome. Some sequences contain instances of violence: a character pushing a man off a ship; players' choices to stab, smother, or knock out other characters. One prolonged sequence allows players' character to engage in a suggestive/sexual encounter (e.g., “[He] kisses me, and starts to undo my buttons. He doesn't ask me for permission...I do exactly what he wants me to do.”). In one game, players can engage in various forms of trade; opium trade/use is referenced in several scenes. The word “sh*t” appears in the dialogue (e.g., ""A man can make his fortune in opium..."")."
66,Asterigos: Curse of the Stars,"PlayStation 4, PlayStation 5, Xbox One, Xbox Series",Violence,No Interactive Elements,"This is an action role-playing game in which players assume the role of a warrior searching for her missing father through a mythical city. Players explore the city and its surroundings while engaging in battles with fantastical creatures (e.g., wild beats, giant crocodiles) and human-like gods. Players use daggers, swords, hammers, and staffs to defeat enemies in melee-style combat. Battles are often frenetic, highlighted by impact sounds, slow-motion effects, and cries of pain."
67,Power Wash Simulator,"PlayStation 4, PlayStation 5, Nintendo Switch",No Descriptors,No Interactive Elements,"This is a simulation game in which players manage a cleaning business that washes vehicles and buildings. Players can customize their washers, nozzles, and cleaners, adjusting the pressure and range of the water spray."
68,Another Crusade,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Fantasy Violence,Mild Language",No Interactive Elements,"This is a role-playing game in which players assume the role of a knight that battles demons threatening a fantasy kingdom. From a 3/4-overhead perspective, players traverse environments (e.g., villages, forests, castles) while engaging in turn-based combat against fantasy creatures (e.g., ogres, hydras, demons). Players perform weapon strikes and magic spells to defeat enemies; battles are accompanied by impact sounds and screen-shaking effects. The word “damn” appears in the game."
69,Demoniaca: Everlasting Night,Nintendo Switch,"Blood and Gore,Language,Nudity,Violence",No Interactive Elements,No Rating Summary
70,Chaos;Child,Nintendo Switch,"Blood and Gore,Intense Violence,Partial Nudity,Sexual Themes,Strong Language",No Interactive Elements,"This is visual novel in which players assume the role of a high-school student investigating a series of mysterious deaths in Tokyo. Some scenes depict still images of characters engaged in violent acts: characters threatening people with knives, strangling other characters, and involved in torture devices (e.g., a corpse strangled by ropes until its neck snaps). Crime scenes are graphically depicted with extensive blood-splatter and large amounts of text detail. Corpses are frequently depicted with bloodstains and sometimes mangled fingers, dangling entrails, or exposed brains. The game also contains sexual material, in still images and text: two female characters moaning off screen while discussing each other's breasts (e.g., “Hmm…you've got big breasts, don't you Hana?”); a dream sequence in which a character grabs another's crotch (e.g., “Was I really dreaming about someone rubbing my crotch?”); prolonged innuendo about an ice cream cone (e.g., “I saw her tongue flick seductively for a moment before her tiny mouth swallowed the whole thing.”); references to sexual fetishes and masturbation. Still images also depict partially exposed breasts and buttocks. The words “f**k,” “sh*t,” and “a*shole” appear in dialogue."
71,CHAOS;HEAD NOAH,Nintendo Switch,"Blood and Gore,Intense Violence,Language,Sexual Themes",No Interactive Elements,"This is a visual novel in which players follow the story of a high-school student navigating a series of bizarre deaths in Tokyo. As players progress through the story, they can make choices that influence the narrative. Some narrative sequences contain instances of violence, often with descriptive detail in the text (e.g., “[S]he snapped, tearing out her hair and ripping the skin off her face”). A handful of sequences depict still images of bloody corpses: a body impaled to a wall with spikes; a flayed body on a toilet; a body surgically implanted with a fetus; a severed hand inside a box. The game includes some sexual material in the text, including references to rape (e.g., “Can you masturbate just using your imagination”; “My genitals smashed…”; “I'm never going to lose my virginity…”; “Doing hentai stuff with your GF”; “Maybe I could rape her right in front of the class.”). One sequence depicts a character's clothing ripped off (revealing her underwear), with text describing a struggle (e.g., “[She] twisted her body to get away from me.”). The words “sh*t” and “a*shole” appear in the game."
72,Superior,"Macintosh, Windows PC","Blood and Gore,Violence",No Interactive Elements,"This is a third-person co-op shooter in which players assume the roles of hunters on a mission to kill evil superheroes. Players explore city environments and use futuristic machine guns, plasma rifles, and rail guns to kill enemies (e.g., mutant creatures, henchmen, humanoids) in frenetic combat. Fire fights and melee combat are accompanied by large explosions, realistic gunfire, and cries of pain. Large-blood splatter effects frequently occur as enemies are shot and killed. Some attacks result in decapitation and/or dismemberment, resulting in large blood stains and chunks of flesh littering the environment."
73,WONDER BOY: THE DRAGON'S TRAP,PlayStation 5,"Fantasy Violence,Use of Tobacco",No Interactive Elements,No Rating Summary
74,Black Book,"PlayStation 4, Nintendo Switch","Blood and Gore,Mild Language,Partial Nudity,Use of Alcohol and Tobacco,Violence",No Interactive Elements,No Rating Summary
75,Smurfs Kart,Nintendo Switch,Mild Cartoon Violence,No Interactive Elements,"This is a multiplayer racing game in which players race with characters from the Smurfs franchise. As players race through tracks and whimsical locations (e.g., a wizard's home, Smurf village), they can pick up and use powers ups (e.g., fireworks, padded arrows, homing bees) to slow down opponents. Some projectile power-ups cause brief explosions."
76,The Elder Scrolls V: Skyrim Anniversary Edition,Nintendo Switch,"Blood and Gore,Intense Violence,Language,Sexual Themes,Use of Alcohol",No Interactive Elements,"This is a fantasy role-playing game in which players assume the role of Dovakin, a figure with the power to combat dragons in the fictional world of Skyrim. As players traverse through open-world environments, they complete missions and quests that impact the fate of their character. Players use swords, bows and arrows, axes, and magic attacks (e.g., fireballs, ice shards) to kill various enemies (e.g., wolves, dragons, soldiers) in melee-style combat. Some sequences are highlighted by slow-motion effects, particularly for decapitations. Large blood-splatter effects also occur during combat, and some environments are stained with blood or body parts (e.g., heads impaled on spikes). Players have the ability to injure/kill non-adversary characters, including bound prisoners that scream in pain. The dialogue and text contain references to sexual material (e.g., “She...raped the men as cruelly as [he] had ravished her”; ""“She knew after all these many years when to be sensual and when to be sexual”; “Remember when you thought [he] was...intent on making you...into his personal sex slave?”). Alcohol such as wine, mead, and ale can be purchased and consumed by players' character throughout the game; in one sequence, players can engage in a drinking contest with another character, which eventually results in slurred speech. The word “sh*t” appears in the game."
77,God of War: Ragnarok,"PlayStation 4, PlayStation 5","Blood and Gore,Intense Violence,Strong Language",No Interactive Elements,"This is an action-adventure game in which players help Kratos and his son on a dangerous quest. Players explore various realms and engage in frenetic hand-to-hand combat against human-like raiders and fantastical creatures (e.g., centaurs, trolls, dragons). Players use axes and chained blades to battle enemies, often resulting in large blood-splatter effects and dismemberment. Players can perform finishing attacks that depict close-up impalement via bladed and hand-held weapons; repeated axe strikes to a creature's neck results in decapitation. The words “f**k” and “sh*t” are heard in the game."
78,Tales of Symphonia Remastered,"PlayStation 4, Nintendo Switch","Fantasy Violence,Mild Blood,Mild Language,Simulated Gambling,Suggestive Themes",No Interactive Elements,"This is a role-playing game in which players lead a group of adventurers on a quest to save a fantasy world. Players can interact with characters, complete quests, and battle soldiers and enemies (e.g., dragons, skeletons, sorcerers) in melee-style combat. Battles are accompanied by sword slashes, cries of pain, and bursts of light. A few sequences depict additional acts of violence and blood: a character hanging from the gallows, before being saved; an invisible character stabbed, resulting in a small blood pool. The game contains some suggestive material: characters designed with revealing outfits (e.g., deep cleavage); dialogue pertaining to breast size (e.g., “I'm like an ironing board,” “Is your chest the only part of you that's well endowed?”); male characters caught peeping at women in a hot springs/outdoor bath (one man earns the title Peeping Tom). In one casino setting, players can wager in-game currency on slot machines and blackjack. The word “a*s” appears in the game."
79,Tales of Symphonia Remastered,"PlayStation 5, Xbox One, Xbox Series","Fantasy Violence,Mild Blood,Mild Language,Simulated Gambling,Suggestive Themes",No Interactive Elements,"This is a role-playing game in which players lead a group of adventurers on a quest to save a fantasy world. Players can interact with characters, complete quests, and battle soldiers and enemies (e.g., dragons, skeletons, sorcerers) in melee-style combat. Battles are accompanied by sword slashes, cries of pain, and bursts of light. A few sequences depict additional acts of violence and blood: a character hanging from the gallows, before being saved; an invisible character stabbed, resulting in a small blood pool. The game contains some suggestive material: characters designed with revealing outfits (e.g., deep cleavage); dialogue pertaining to breast size (e.g., “I'm like an ironing board,” “Is your chest the only part of you that's well endowed?”); male characters caught peeping at women in a hot springs/outdoor bath (one man earns the title Peeping Tom). In one casino setting, players can wager in-game currency on slot machines and blackjack. The word “a*s” appears in the game."
80,Voice of Cards: Beasts of Burden,Windows PC,"Fantasy Violence,Suggestive Themes",No Interactive Elements,"This is a strategy role-playing game in which players follow the story of a teenager protecting her village from monsters. As players progress through the story (depicted with cards representing characters, maps, shops, story text), they engage in turn-based battles against fantastical enemies (e.g., skeletons, large insects, slimes). Players select attack moves from a menu and watch as cards strike each other or use elemental attacks (e.g., flame, lightning). Some of the text describes violence in dramatic detail:  ""...[Y]ou carefully begin slicing into the worm's stomach”; “You can barely stand to look at their mangled corpses”; “Blood oozes out of a gapping wound on his back.” Some female creatures are designed with revealing outfits (e.g., low-cut tops, deep cleavage, partially exposed breasts); a handful of male creatures are depicted nude, though with no discernible details (i.e., no genitalia)."
81,Various Daylife,Windows PC,"Alcohol Reference,Fantasy Violence,Language",No Interactive Elements,"This is a role-playing game in which players assume the role of a colonist in a fantasy continent. As players traverse 2D environments, they can interact with characters, perform tasks, and engage in turn-based combat with creatures (e.g., golems, dragons, wolves). Players choose weapon attacks and magic spells (e.g., fire blasts, thunder strikes) from a menu; attacks are accompanied by sword slashes, explosions, and light bursts. The game contains some brief alcohol references in the dialogue (e.g., “So you're hungover”; “What if you had him make you something to prevent you from getting drunk?”). The words “p*ssed” and “bastard” appear in the game."
82,Demoniaca: Everlasting Night,PlayStation 5,"Blood and Gore,Language,Nudity,Violence",No Interactive Elements,No Rating Summary
83,Aliisha: The Oblivion of the Twin Goddesses,Nintendo Switch,No Descriptors,No Interactive Elements,"This is a puzzle adventure game in which players control twin sisters as they explore fantastical 3D environments. Players traverse platform environments, solve puzzles, and use objects to manipulate doors, shrines, and statues."
84,ASTRO AQUA KITTY,PlayStation 4,Mild Fantasy Violence,No Interactive Elements,No Rating Summary
85,ASTRO AQUA KITTY - Pawsome Collection,Nintendo Switch,Mild Fantasy Violence,No Interactive Elements,No Rating Summary
86,Blair Witch,Nintendo Switch,"Blood and Gore,Intense Violence,Strong Language",No Interactive Elements,"This is a survival horror game in which players assume the role of a police officer (Ellis Jacob) in search of a missing boy. From a first-person perspective, players use video cameras, cellphones, flashlights, and Ellis' dog to track the missing boy while fending off supernatural creatures in a forest. As players progress through the game, they can find video footage depicting various acts of violence: a defenseless man stabbed to death; a man put through a spinning saw blade (off-screen). Cutscenes also depict intense acts of violence: a dramatic stabbing of a victim; an unarmed teenager shot to death by a police officer; players' character plunging a knife into a man's chest. Large blood-splatter effects occur in the game, and some environments depict blood stains on the victim's bodies. One sequence depicts a disemboweled deer with expose entrails; a murder victim is also seen with a mangled face and exposed muscle tissue. The words “f**k” and “sh*t” are heard in the game."
87,Bunny Park,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",No Descriptors,No Interactive Elements,"This is a resource-management game in which players manage a bunny park. Players can decorate, upgrade, and expand the park to increase its popularity and to obtain additional bunnies."
88,Cobra Kai 2: Dojos Rising,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Mild Language,Violence",No Interactive Elements,"This is an action/fighting game inspired by the TV show Cobra Kai. Players can control characters that battle various enemies (e.g., rival dojo members, street thugs) in hand-to-hand combat. Fighting mostly involves punching, kicking, and throwing enemies in order to drain their health bars; players can also use bats, sledgehammers, and special attacks (e.g., explosive bursts of fire, lightning attacks) to defeat enemies. Combat is highlighted by cries of pain, impact sounds, screen-shaking effects, and explosions. The words “a*s,” “b*tch,” and “bastard” appear in the game."
89,DC League of Super Pets: The Adventures of Krypto and Ace,"Windows PC, PlayStation 4, Stadia, Nintendo Switch, Xbox One",Fantasy Violence,No Interactive Elements,"This is an action game in which players control superpowered dogs as they fly through Metropolis battling evil robots. From a third-person perspective, players control Krypto and Ace as they fly in and around buildings using lasers, frost breath, and special attacks to destroy enemies (e.g., drones, turrets, boss robots). Combat is highlighted by explosions, blaster fire, and screen-shaking effects."
90,DC League of Super-Pets: The Adventures of Krypto and Ace,"PlayStation 5, Xbox Series",Fantasy Violence,No Interactive Elements,"This is an action game in which players control superpowered dogs as they fly through Metropolis battling evil robots. From a third-person perspective, players control Krypto and Ace as they fly in and around buildings using lasers, frost breath, and special attacks to destroy enemies (e.g., drones, turrets, boss robots). Combat is highlighted by explosions, blaster fire, and screen-shaking effects."
91,Evil West,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore,Intense Violence,Strong Language",No Interactive Elements,"This is an action-adventure game in which players assume the role of a monster hunter (Jesse Rentier) amid an alternative 19th-century American West. From a third-person perspective, players explore towns and wild-west environments, while engaging in frenetic combat with enemies (e.g., monsters, demons, vampires, humans). Players use over-the-top melee attacks/punches, as well as shotguns, pistols, and special skills to kill hordes of enemies. Combat is highlighted by gunfire, screams of pain, and blood-splatter effects. Some weapon attacks result in decapitation and dismemberment. The words “f**k” and “sh*t” appear in the dialogue."
92,F.I.S.T.: Forged In Shadow Torch,"PlayStation 4, PlayStation 5, Nintendo Switch","Fantasy Violence,Language,Mild Suggestive Themes,Use of Alcohol",No Interactive Elements,"This is an action-platformer in which players assume the role of a rabbit soldier battling corruption in Torch City. From a side-scrolling perspective, players traverse platforms while using mechanical armor to battle enemies (e.g., soldiers, rock monsters). Players use punches, electric whips, and guns/lasers to attack enemies in melee-style combat. Combat can be frenetic at times, highlighted by cries of pain, impact sounds, and small explosions. One level depicts a club/venue with female rabbit dancers on a neon sign. Another sequence depicts a conversation with a hiccupping rabbit character, described as drunk (""He's drunk.""). The words “p*ss me off” and “dumba*s” appear in the dialogue."
93,Foretales,Nintendo Switch,"Fantasy Violence,Mild Blood,Mild Language,Use of Alcohol",No Interactive Elements,"This is an adventure game in which players use a variety of action cards to progress through a fantasy storyline. Players follow animal characters as they interact with townsfolk, battle bandits/enemies, and search for treasure. Action cards can contain combat moves (e.g., shooting arrows, flinging pepper to distract), which are conveyed via brief impact sounds, dwindling hit points, and screen-shaking effects. One card depicts small bloodstains on a snake's sword. A handful of sequences depict characters discussing rum, grog, whiskey, or wine; in one sequence, an animal is given a bottle of rum to consume (e.g., ""*glug*...*glug*...*glug*...*hic*...*hic*...""). The words “damn” and “hell” appear in game text."
94,Inertial Drift: Twilight Rivals Edition,PlayStation 5,No Descriptors,No Interactive Elements,"This is an arcade-style racing game in which players follow a group of friends as they compete to win the Summer Grand Prix. Players race and drift around different tracks as they compete in a variety of game modes (e.g., Time Attack, Ghost Race, Endurance)."
95,Lemon Cake,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",No Descriptors,No Interactive Elements,"This is a strategy game in which players restore and manage an abandoned bakery. Players can grow ingredients in the greenhouse, bake pastries in the kitchen, and serve baked goods to customers."
96,No More Heroes 3,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore,Intense Violence,Strong Language,Suggestive Themes",No Interactive Elements,"This is an action game in which players assume the role of Travis Touchdown, an assassin battling aliens while trying to reach the top of the Galactic Superhero Rankings. From a third-person perspective, players use a beam katana to engage in frenetic melee combat against alien and human enemies. Combat is highlighted by large blood-splatter effects, dismemberments/decapitations, and screams of pain. Finishing moves can trigger a zoomed-in perspective and slow-motion effects. Cutscenes depict further instances of intense violence: an alien ripping the arms off a fallen foe; an character crushing the skull of an enemy; a bound man repeatedly slashed, then decapitated. Camera angles sometimes focus on female characters' revealing outfits and anatomy (e.g., low-cut tops, short skirts); some areas allow players to zoom in on female figures with upskirt detailing. During the course of the game, players' character uses a masturbatory gesture to charge their beam katana. The words “f**k” and “sh*t” appear in the dialogue."
97,OneShot: World Machine Edition,"PlayStation 4, Nintendo Switch",Alcohol Reference,No Interactive Elements,"This is an adventure game in which players assume the role of a catlike creature on a quest to restore a world's sun. From a top-down perspective, players explore the environment and solve puzzles to progress through the story. One of the item's in the game is a bottle of alcohol."
98,Psychonauts,Xbox One,"Blood,Drug Reference,Fantasy Violence,Mild Language,Mild Suggestive Themes",No Interactive Elements,"This is an adventure game in which players help a young psychic (Raz) save his fellow campers after they are kidnapped from a summer camp. As players explore the camp and project themselves into the minds of others, they use psychic punches and abilities (e.g., Telekinesis, Levitation) to defeat mutant creatures and physical manifestations of emotional trauma. The melee-style combat can be frenetic at times, with impact sounds, cries of pain, and screen-shaking effects. One boss character is depicted with large bloody cleavers and bloodstains on his clothing; one area depicts a giant grinder with bloodstains on its blades. The dialogue and text sometimes reference drugs and suggestive material (e.g., “Earlier tonight, Goggalor broke some of his jailhouse cronies out of the slammer so they can enjoy a night on the town, popping pills and soliciting inexpensive call girls”; ""I'm practicing for tonight, when it's gonna be full of ladies""; ""Goggalor: On Drugs?""). The word “a*s” appears in the dialogue."
99,Suikoden I HD Remaster Gate Rune War,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Fantasy Violence,Language,Mild Suggestive Themes,Simulated Gambling",No Interactive Elements,"This is a role-playing game in which players assume the role of fighters trying to defeat an evil emperor. From a top-down perspective, players explore environments and engage in turn-based combat with various enemies (e.g., humans, ghouls/zombies, harpies). Players select attack moves/spells from a menu as they watch characters strike enemies with fists/kicks, swords, and magic. Some sequences depict armies of small characters trading blows with swords and blasts of magic. The game contains some suggestive depictions (e.g., pixelated female monsters with hands covering their breasts) and dialogue (e.g., “Come, pour me a glass, loverboy”; “That old creep Kraze keeps undressing me with his eyes.""). Players can also engage in a dice game with wagers of in-game currency. The word “bastard” appears in the game."
100,Suikoden II HD Remaster Dunan Unification War,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Mild Blood,Mild Language,Simulated Gambling,Suggestive Themes,Violence",No Interactive Elements,"This is a role-playing game in which players assume the roles of fighters building an army to defeat an evil villain. From a top-down perspective, players explore various environments while engaging in turn-based combat with human and fantastical enemies (e.g., monsters, ghouls, zombies, harpies). Players select attack moves/spells from a menu as they watch characters use spells and weapons (e.g., swords, spears, guns) to defeat characters. Cutscenes sometimes depict villains slashing civilians or threatening children. One scene depicts several soldiers repeatedly shot/impaled by arrows. A handful of cutscenes depict drips of blood after characters cut themselves or are poisoned. The game contains some suggestive material: ghoul characters designed with deep cleavage; bare-chested harpies, though without discernible details (i.e., no nipples); and mild suggestive dialogue (e.g., “[D]on't try and undress me with your eyes...""; “She had a great butt on her, lemme tell ya”; “Don't leer! It's not that kind of show.”). Some mini games allow players to gamble money on dice rolls. The word “bastard” appears in the game."
101,We Are OFK,"PlayStation 5, Nintendo Switch","Sexual Themes,Strong Language",No Interactive Elements,"This is an adventure game in which players follow a handful of characters as they try to establish a music career in L.A. Players select dialogue choices and follow a storyline that includes interacting with characters, sending text messages, selecting lyrics, and playing music videos. A few scenes depict two characters in bed (no nudity) after having sex. The dialogue also contains sexual material (e.g., “...I'll post robo hentai from the official account...""; “I don't trust a company that doesn't embrace its horny fanbase”; “He and his Balenciagas can go s*ck each other off”; ""just the girls with the hundred-k followers and the good t*ts.” The word “f**k” appears in dialogue."
102,WHITE DAY: A LABYRINTH NAMED SCHOOL,"PlayStation 5, Nintendo Switch","Blood,Violence",No Interactive Elements,"This is a first-person survival horror game in which players assume the role of a high-school student trying to escape a haunted school. As players search for tools/clues, they encounter violent spirits and janitors that roam the halls with baseball bats. If players are caught by a janitor, an animation depicts the central character getting struck with a bat, resulting in blood-splatter effects across the screen. A handful of sequences depict additional acts of violence: a student getting hit several times while lying on the floor; a ghost stabbing the student in the chest with a knife; a woman accidentally falling to her death and bleeding on the ground."
103,Ben 10: Power Trip,PlayStation 5,Cartoon Violence,No Interactive Elements,"This is an action-adventure game in which players control Ben Tennyson, a young boy with the ability to transform into various aliens. Players try to stop a villain, perform missions, and battle monsters by using melee combat and alien powers (e.g., blasts of fire, spike-like projectiles, powered-up punches). Combat can be frenetic, with brief cries of pain and depictions of enemies catching on fire or exploding into bursts of energy and coins. Boss fights involve more protracted combat with larger enemies."
104,Ice Age: Scrat's Nutty Adventure,PlayStation 5,Mild Cartoon Violence,No Interactive Elements,"This is a 3D action platformer, based on the Ice Age movies, in which players assume the role of a squirrel (Scrat) on a quest to collect nuts. Players run, jump, and climb through prehistoric landscapes while collecting crystals and defeating cartoony creatures (e.g., bugs, rhinos, fish, crabs). Players can perform kicks, jabs, and tail swipes to quickly defeat enemies; combat is accompanied by impact sounds and cries of pain."
105,PAW Patrol Mighty Pups Save Adventure Bay,PlayStation 5,No Descriptors,No Interactive Elements,"This is an adventure-platformer in which players engage in rescue missions with the characters from the TV show Paw Patrol. Players traverse platforms, collect dog treats, and avoid various obstacles."
106,PAW Patrol the Movie: Adventure City Calls ,PlayStation 5,No Descriptors,No Interactive Elements,"This is a 3D platformer based on PAW Patrol: The Movie. Players control various PAW Patrol pups through adventures while collecting treats, driving around obstacles, and completing tasks (e.g., collecting trash, clearing rubble)."
107,Garfield Lasagna Party ,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",Mild Cartoon Violence,No Interactive Elements,"This is a party game in which players engage in a board game race by playing whimsical mini-games. A handful of mini-games include mild instances of violence: a dog biting/colliding with players, resulting in short cries and loss of health; a snowball fight in which players use a targeting reticule (i.e., crosshairs); players pushing opponents off an iceberg into the water."
108,LET'S PLAY CURLING!!,Nintendo Switch,No Descriptors,No Interactive Elements,This is a sports simulation game in which players compete in curling matches against international teams. Players score points by adjusting the strength of their throw and sweeping the ice to get closest to the center of a target.
109,DreamWorks Dragons: Legends of the Nine Realms,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Nintendo Switch, Xbox One, Xbox Series",Fantasy Violence,No Interactive Elements,"This is an adventure game in which players control a dragon searching mysterious realms for missing friends. From a top-down perspective, players collect jewels, overcome obstacles/hazards, and battle enemy dragons. Dragons use bites, tail strikes, and special skills/abilities during combat. Some levels contain frenetic fights against multiple foes, while boss battles depict more protracted combat involving dramatic bursts of flame/ice/energy. Battles are highlighted by impact sounds, dwindling hit points and health bars, and explosions."
110,The Big Con - GRIFT OF THE YEAR EDITION,Nintendo Switch,"Drug Reference,Language,Use of Tobacco",No Interactive Elements,No Rating Summary
111,Potion Permit,"PlayStation 4, PlayStation 5, Nintendo Switch","Alcohol Reference,Mild Fantasy Violence",No Interactive Elements,"This is an action/simulation game in which players assume the role of a doctor on a remote island. From a top-down perspective, players interact with inhabitants, treat ailments, and collect resources and ingredients to create potions. Players sometimes battle cartoony enemies (e.g., slime creatures, bears, giant insects), using axes and scythes. Battles are accompanied by impact sounds, as enemies disappear in puffs of smoke. The game references alcohol in the dialogue (e.g., “She's quite a drinker, but never got drunk.”)."
112,Bloodroots,"PlayStation 4, PlayStation 5","Blood and Gore,Strong Language,Violence",No Interactive Elements,No Rating Summary
113,Espgaluda II ,Nintendo Switch,"Blood,Fantasy Violence",No Interactive Elements,No Rating Summary
114,Hyper Echelon,"PlayStation 4, Nintendo Switch","Animated Blood,Fantasy Violence,Language",No Interactive Elements,No Rating Summary
115,River City Girls 2,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Animated Blood,Fantasy Violence,Language,Suggestive Themes",No Interactive Elements,"This is an action-brawler game in which players assume the roles of high-school students trying to defeat a yakuza boss. Players traverse side-scrolling city environments and beat up enemies (e.g., thugs, wrestlers, zombies, students) using punches and kicks in frenetic combat. Battles are highlighted by impact sounds and cries of pain. Some zombies emit splashes of green blood when injured. The game contains some suggestive material in the dialogue (e.g., ""...[K]eep your eyes to yourself, creep-o”; “Wait which one were you 'close' with...That's hot.”). Some female characters wear revealing outfits, and a cartoony, pixelated icon depicts a man's bare buttocks in a sauna. The words “a*s” and “p*ss off” are heard in the game."
116,Unsouled,Nintendo Switch,"Blood and Gore,Language,Violence",No Interactive Elements,"This is a 2D action role-playing game in which players assume the role of a resurrected prince on a quest for revenge. From a 3/4-overhead perspective, players explore a stylized fantasy kingdom and battle small zombie-like soldiers and enemy clans in melee-style combat. Players use sword slashes to kill enemy forces, resulting in blood-splatter effects that stain the environment. Battles are frenetic at times, with screen-shaking effects and impact sounds. Some attacks result in the small characters getting dismembered or cut in half. The word “a*shole” appears in the game."
117,Toodee and Topdee,Nintendo Switch,Mild Fantasy Violence,No Interactive Elements,No Rating Summary
118,CoComelon: Play With JJ ,Nintendo Switch,No Descriptors,No Interactive Elements,"This is a collection of educational mini-games in which players can interact with a toddler named JJ as he explores his house. Mini-games include counting, singalongs, reading nursery rhymes, and puzzles."
119,Eastward,"Windows PC, Xbox One, Xbox Series","Blood,Fantasy Violence,Language,Suggestive Themes,Use of Alcohol",No Interactive Elements,"This is an adventure game in which players assume the role of a man guiding a girl through a dangerous city. From a 3/4 overhead perspective, players explore the city, interact with characters, and use various weapons (e.g., frying pan, bombs, shotguns, flamethrowers) to battle fantasy creatures (e.g., giant slugs, robots). Battles are frenetic, accompanied by realistic gunfire, explosions, and screen-shaking effects. Some enemies emit small pools of blood when killed. The game contains references to suggestive material: a Wild Love adult magazine, which can be purchased from a store; a dominatrix stating, “The men in this city won't know what hit them…ready your stakes, boys, because tonight the tents will rise”; a woman depicted with jiggling breasts; a robot making a masturbatory gesture with its hands. One sequence depicts characters drunk on the floor after drinking all night. The words “a*hole” and “b*tch” appear in the game."
120,The Valiant,Windows PC,"Blood,Language,Violence",No Interactive Elements,"This is a strategy game in which players follow the story of Theoderich von Akenburg, a former Templar knight battling enemy forces while on a quest to find a mysterious relic. From a top-down perspective, players move their military units through battlefields using swordsmen, spearmen, cavalry, and archers to kill enemy troops. Battles are highlighted by cries of pain, impact sounds, and blood-splatter effects. Corpses remain on the battlefield in pools of blood. Some cutscenes contain closer views of this content or characters being impaled by swords; one cutscene depicts a man being shot in the eye with an arrow. The word “sh*te” appears in the game."
